127.0.0.1 - - [31/Mar/2022:11:41:29 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:30 +0900] "GET /init/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:30 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:31 +0900] "GET /init/ HTTP/1.1" 200 11200
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:31 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:31 +0900] "GET /init/css/header.css HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:31 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:31 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:31 +0900] "GET /init/css/footer.css HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:31 +0900] "GET /init/css/main/main.css HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:32 +0900] "GET /init/css/modalPost.css HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:34 +0900] "GET /init/feed HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:34 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:34 +0900] "GET /init/js/feed/feed_calendar.js HTTP/1.1" 200 15731
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:34 +0900] "GET /init/js/feed/fc/locales/ko.js HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:34 +0900] "GET /init/css/feed/fc/main.css HTTP/1.1" 200 43069
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:34 +0900] "GET /init/css/feed/main_custom.css HTTP/1.1" 200 3466
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:34 +0900] "GET /init/js/feed/fc/main.js HTTP/1.1" 200 732554
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:35 +0900] "POST /init/feed/getAllPlans.do HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:45 +0900] "POST /init/plan HTTP/1.1" 200 12200
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:45 +0900] "GET /init/js/plan/kakaomap/kakaomap.js HTTP/1.1" 200 14888
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:45 +0900] "GET /init/css/plan/plan_detail.css HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:45 +0900] "GET /init/css/plan/kakaomap/kakaomap.css HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:45 +0900] "GET /init/js/plan/plan_detail.js HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:42:10 +0900] "POST /init/plan/detail.do HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:42:10 +0900] "GET /init/feed HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:42:10 +0900] "GET /init/js/feed/fc/locales/ko.js HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:42:10 +0900] "GET /init/js/feed/feed_calendar.js HTTP/1.1" 200 15731
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:42:10 +0900] "GET /init/css/feed/fc/main.css HTTP/1.1" 200 43069
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:42:10 +0900] "GET /init/css/feed/main_custom.css HTTP/1.1" 200 3466
