127.0.0.1 - - [06/Apr/2022:11:10:12 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:18 +0900] "GET /init/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:18 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:18 +0900] "GET /init/ HTTP/1.1" 200 14940
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:18 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:18 +0900] "GET /init/css/header.css HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:18 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:18 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:18 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:18 +0900] "GET /init/css/modalPost.css HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:18 +0900] "GET /init/css/login_modal.css HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:19 +0900] "GET /init/css/footer.css HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:19 +0900] "GET /init/css/main/main.css HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:19 +0900] "GET /init/images/marker.png HTTP/1.1" 200 5844
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:19 +0900] "GET /init/images/5.jpg HTTP/1.1" 200 2250516
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:34 +0900] "GET /init/user/join_view HTTP/1.1" 200 23470
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:34 +0900] "GET /init/css/footer.css HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:34 +0900] "GET /init/css/header.css HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:44 +0900] "GET /init HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:44 +0900] "GET /init/ HTTP/1.1" 200 14940
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:44 +0900] "GET /init/css/header.css HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:44 +0900] "GET /init/css/login_modal.css HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:44 +0900] "GET /init/css/main/main.css HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:44 +0900] "GET /init/css/footer.css HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [06/Apr/2022:11:10:44 +0900] "GET /init/css/modalPost.css HTTP/1.1" 200 857
